	DS40	HA41	HA42	HA43	HA44	HA45	HA46	HA47	HA50	HG56	DS31	HG57	LG74	LG75	LG76	LG77	LN71	LN72	LN73	MB10	MB1	DS32	MB3	MB4	MB5	MB6	MB7	MB8	MFB16	MFB17	MFB18	MFB19	DS33	MFB20	MFB26	MFB27	MFB28	MFB29	MFB30	MFR11	MFR12	MFR13	MFR14	DS34	MFR15	MFR21	MFR22	MFR23	MFR24	MFR25	NC68	DS35	DS36	DS37	DS38	DS39
ASV_21	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8536	0	0	6	0	0	7173	17092	12590	32192	20209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2537	52	166	463	0	185	11688	484	4725	2341	3516	7605	2874	3896	3370	0	4913	16408	3829	2981	10286	10558	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	34	1372	280	0	33	5975	10968	5089	10976	0	15983	2497	2191	2875	11158	7436	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18052	0	0	0	0	0	17655	20858	17440	0	0	0	0	0	0	1004	65	211	257	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10731	11937	7141	8965	0	11654	1413	2545	4827	10905	4670	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9957	0	0	7994	673	2607	12678	14390	18375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5805	0	0	0	0	0	5047	7393	21332	19664	4609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	1708	75	47894	268	12877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	128	914	585	186	300	34810	9997	1538	0	0	0	68	497	10190	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	736	0	0	18	0	0	0	0	0	0	9591	0	0	0	0	0	0	0	0	0	0	18439	0	0	0	0	0	0	0	0	0	0	13092	0	0	0	0	0	0	0	0	0	0	8422	0	0	0	0	0	0	0	4924	466	1150	1181	1365
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	6746	9824	1806	123	12021	7852	18757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	12574	21076	20255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	839	0	0	37	0	0	0	0	0	0	7665	0	0	0	0	0	0	0	0	0	0	15086	0	0	0	0	0	0	0	0	0	0	10932	0	0	0	0	0	0	0	0	0	0	7058	0	0	0	0	0	0	0	4055	604	1438	1562	1617
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6519	82	13039	4608	13	204	53	4	8	6	7	4434	5264	3554	1713	0	5216	430	1392	1210	1217	1244	0	12	0	0	0	8
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11963	5719	5121	129	13763	0	227	7431	5079	193	259	148	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1374	55	212	272	0	180	22455	1547	2425	14019	4349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	8148	14781	12452	10432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	9	35	0	20	0	0	0	0	0	4877	1898	1731	1569	0	1985	11495	3764	1607	7423	3142	0	0	0	0	0	0
