"","superkingdom","phylum","class","order","family","genus","species"
"X1461577.4","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Weeksella","Weeksella massiliensis"
"X2027859","Bacteria","Actinobacteria","Actinobacteria","Nakamurellales","Nakamurellaceae","Nakamurella","Nakamurella intestinalis"
"X1293052","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","Limnohabitans parvus"
"X....120","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctopirus","Planctopirus limnophila"
"X.580166","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Oceanibaculum","Oceanibaculum pacificum"
"X1812821","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Corticicoccus","Corticicoccus populi"
"X1324935","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobia subdivision 3","Limisphaera","Limisphaera ngatamarikiensis"
"X.231053","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter","Saccharibacter floricola"
"X1417852","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Flintibacter","Flintibacter butyricus"
"X.694434","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Gracilibacter","Gracilibacter thermotolerans"
"X.216947.3","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma velocicrescens"
"X1076588.1","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,"Thiolapillus","Thiolapillus brandeum"
"X.419650","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae","Calidifontibacter","Calidifontibacter indicus"
"X.282060","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium","Ornithinimicrobium kibberense"
"X..81459","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Entomoplasma","Entomoplasma melaleucae"
"X.216947.4","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma velocicrescens"
"X1297617.1","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Intestinimonas","Intestinimonas butyriciproducens"
"X..33039.2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques"
"X....550.1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae"
"X....571.1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca"
"X..39488.2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"X....539","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella","Eikenella corrodens"
"X.642776","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Phycicoccus","Phycicoccus badiiscoriae"
"X..68334","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia aphidicola"
"X..41202","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Ewingella","Ewingella americana"
"X.252130.1","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Uruburuella","Uruburuella suis"
"X1546155","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera","Tepidisphaera mucosa"
"X1461577.5","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Weeksella","Weeksella massiliensis"
"X.585394","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Roseburia hominis"
"X1912855","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalimonas","Faecalimonas umbilicata"
"X.266125","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium koreense"
"X.290054.1","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium coprostanoligenes"
"X.290054.2","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium coprostanoligenes"
"X....571.2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca"
"X.682400.2","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Natranaerovirga","Natranaerovirga pectinivora"
"X.287844.5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus concavus"
"X.682400.3","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Natranaerovirga","Natranaerovirga pectinivora"
"X.694434.1","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Gracilibacter","Gracilibacter thermotolerans"
"X1324864.1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea beijingensis"
"X1679721","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Herbinix","Herbinix luporum"
"X..39488.3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"X1461577.6","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Weeksella","Weeksella massiliensis"
"X.563040","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas","Sulfurimonas autotrophica"
"X1763535","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga crassostreae"
